"typeName","type","value"
"CommodityCode","enumeratedString","CME DDG"
"CommodityCode","enumeratedString","CME DY"
"CommodityCode","enumeratedString","CME FC"
"CommodityCode","enumeratedString","CME GD"
"CommodityCode","enumeratedString","CME GIE"
"CommodityCode","enumeratedString","CME GNF"
"CommodityCode","enumeratedString","CME HDD"
"CommodityCode","enumeratedString","CME HWP"
"CommodityCode","enumeratedString","CME LB"
"CommodityCode","enumeratedString","CME LC"
"CommodityCode","enumeratedString","CME LH"
"CommodityCode","enumeratedString","CME NG"
"CommodityCode","enumeratedString","CME WP"
"CommodityCode","enumeratedString","CMX GC"
"CommodityCode","enumeratedString","CMX HG"
"CommodityCode","enumeratedString","CMX SI"
"CommodityCode","enumeratedString","DJ UBSCI"
"CommodityCode","enumeratedString","ICUS"
"CommodityCode","enumeratedString","ICUS AEC"
"CommodityCode","enumeratedString","ICUS CC"
"CommodityCode","enumeratedString","ICUS CSO"
"CommodityCode","enumeratedString","ICUS CT"
"CommodityCode","enumeratedString","ICUS DGD"
"CommodityCode","enumeratedString","ICUS HXS"
"CommodityCode","enumeratedString","ICUS KC"
"CommodityCode","enumeratedString","ICUS MDC"
"CommodityCode","enumeratedString","ICUS NH"
"CommodityCode","enumeratedString","ICUS NWR"
"CommodityCode","enumeratedString","ICUS OJ"
"CommodityCode","enumeratedString","ICUS OPJ"
"CommodityCode","enumeratedString","ICUS PGE"
"CommodityCode","enumeratedString","ICUS PJM"
"CommodityCode","enumeratedString","ICUS SB"
"CommodityCode","enumeratedString","ICUS SCL"
"CommodityCode","enumeratedString","ICUS SF"
"CommodityCode","enumeratedString","ICUS SPM"
"CommodityCode","enumeratedString","ICUS SQP"
"CommodityCode","enumeratedString","ICUS WAH"
"CommodityCode","enumeratedString","KCBT KW"
"CommodityCode","enumeratedString","MGEX MWE"
"CommodityCode","enumeratedString","NYL C"
"CommodityCode","enumeratedString","NYL ZG"
"CommodityCode","enumeratedString","NYL ZI"
"CommodityCode","enumeratedString","NYMEX BZ"
"CommodityCode","enumeratedString","NYMEX CI"
"CommodityCode","enumeratedString","NYMEX CJ"
"CommodityCode","enumeratedString","NYMEX CL"
"CommodityCode","enumeratedString","NYMEX HO"
"CommodityCode","enumeratedString","NYMEX HR"
"CommodityCode","enumeratedString","NYMEX KT"
"CommodityCode","enumeratedString","NYMEX MB"
